Name	Description	SourceMTOverride	SampleMTOverride	Group	VNI subdivision	Characteristics[mating type]	Characteristics[country]	Characteristics [specimen]	Characteristics [health_status]	Characteristics [organism]	Characteristics [reference]	In GWAS	Phenotyped	Characteristics [fungus organism]	Characteristics [fungal strain]	Lineage	Fluconazole Ave+Std Dev	Paraquat Ave+Std Dev	H2O2	LDOPA Ave+Std Dev
Muc416-4	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc416-4	VNBI	0.009 +/- 0.012	0.992 +/- 0.307	0.592	0.269 +/- 0.006
Muc418-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc418-1	VNBI	0.074 +/- 0.095	0.955 +/- 0.212	0.664	0.210 +/- 0.040
Muc437-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc437-1	VNBI	0.152 +/- 0.216	0.801 +/- 0.258	0.414	0.176 +/- 0.012
Muc449-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc449-1	VNBI	0.017 +/- 0.024	0.961 +/- 0.127	0.042	0.227 +/- 0.036
Muc451-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc451-1	VNBI	0.000 +/- 0.000	1.041 +/- 0.166	0.144	0.168 +/- 0.028
Muc457-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc457-1	VNBI	0.000 +/- 0.000	1.033 +/- 0.200	0.336	0.149 +/- 0.016
Muc458-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc458-2	VNBI	0.003 +/- 0.004	0.889 +/- 0.129	0.333	0.438 +/- 0.273
Muc460-3	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc460-3	VNBI	0.071 +/- 0.081	1.090 +/- 0.179	0.616	0.165 +/- 0.003
Muc463-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc463-2					
Muc466-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc466-1	VNBI	0.000 +/- 0.000	0.911 +/- 0.196	0.264	0
Muc466-3	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc466-3	VNBI	0.051 +/- 0.071	0.844 +/- 0.378	0.714	0.204 +/- 0.052
Muc479-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc479-1	VNBI	0.071 +/- 0.090	0.961 +/- 0.161	0.765	0.177 +/- 0.030
Muc489-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc489-1	VNBI	0.000 +/- 0.000	1.003 +/- 0.062	0.141	0.154 +/- 0.035
Muc498-2	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc498-2	VNBI	0.000 +/- 0.000	0.934 +/- 0.185	0.457	0.245 +/- 0.040
Muc503-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc503-1	VNBI	0.050 +/- 0.041	0.952 +/- 0.208	0.551	0.155 +/- 0.008
Muc504-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc504-1	VNBI	0.000 +/- 0.000	0.762 +/- 0.260	0	0.206 +/- 0.083
Muc516-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc516-1	VNBI	0.015 +/- 0.021	1.006 +/- 0.232	0.484	0.186 +/- 0.016
Muc525-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	soil			Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Muc525-1	VNBI	0.009 +/- 0.013	0.971 +/- 0.105	0.693	0.212 +/- 0.024
NRHc5004.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5004.ENR	VNBI	0.580 +/- 0.187	0.739 +/- 0.318	0.303	0.185 +/- 0.032
NRHc5005.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5005.ENR	VNBI	0.026 +/- 0.037	0.922 +/- 0.068	0.007	0.211 +/- 0.008
NRHc5009.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		not assigned	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5009.ENR	VNBI	0.120 +/- 0.001	0.209 +/- 0.362	0.13	0.213 +/- 0.008
NRHc5009.REL.INI	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5009.REL.INI	VNBI	0.116 +/- 0.042	0.225 +/- 0.334	0.085	0.292 +/- 0.066
NRHc5011.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5011.ENR	VNBI	0.260 +/- 0.243	0.000 +/- 0.001	0.16	0.221 +/- 0.061
NRHc5013.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5013.ENR	VNBI	0.008 +/- 0.008	0.878 +/- 0.164	0.443	0.231 +/- 0.107
NRHc5013.REL.INI	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5013.REL.INI	VNBI	0.021 +/- 0.030	0.837 +/- 0.454	0.237	0.110 +/- 0.009
NRHc5019.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5019.ENR	VNBI	0.007 +/- 0.010	0.977 +/- 0.094	0.548	0.342 +/- 0.115
NRHc5020.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5020.ENR	VNBI	0.058 +/- 0.080	1.114 +/- 0.272	0.313	0.182 +/- 0.002
NRHc5021.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5021.ENR	VNBI	0.033 +/- 0.045	0.797 +/- 0.052	0.36	0.144 +/- 0.034
NRHc5022.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5022.ENR	VNBI	0.001 +/- 0.001	0.886 +/- 0.078	0.03	0.177 +/- 0.018
NRHc5023.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5023.ENR	VNBI	0.419 +/- 0.187	0.956 +/- 0.096	0.028	0.256 +/- 0.031
NRHc5024.ENR.CLIN.1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5024.ENR.CLIN.1	VNBI	0.522 +/- 0.267	0.666 +/- 0.177	0	0.206 +/- 0.006
NRHc5024A.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5024A.ENR.CLIN.ISO	VNBI	0.619 +/- 0.184	0.681 +/- 0.150	0	0.195 +/- 0.001
NRHc5026.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5026.ENR.CLIN.ISO	VNBI	0.009 +/- 0.013	0.899 +/- 0.164	0.109	0.227 +/- 0.013
NRHc5027.ENR.CLIN1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5027.ENR.CLIN1	VNBI	0.000 +/- 0.000	0.798 +/- 0.200	0.099	0.248 +/- 0.045
NRHc5029.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5029.ENR.CLIN.ISO	VNBI	0.300 +/- 0.264	0.934 +/- 0.209	0.445	0.184 +/- 0.033
NRHc5030.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5030.ENR.CLIN.ISO	VNBI	0.501 +/- 0.335	0.668 +/- 0.405	0	0.232 +/- 0.074
NRHc5032.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5032.ENR.CLIN.ISO	VNBI	0.222 +/- 0.120	0.235 +/- 0.281	0.715	0.264 +/- 0.051
NRHc5035.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5035.ENR.CLIN.ISO	VNBI	0.068 +/- 0.095	0.457 +/- 0.388	0.758	0.158 +/- 0.000
NRHc5037.ENR.CLIN1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5037.ENR.CLIN1	VNBI	0.008 +/- 0.011	0.978 +/- 0.047	0.602	0.209 +/- 0.009
NRHc5039.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5039.ENR.STOR	VNBI	0.079 +/- 0.093	0.439 +/- 0.428	0.249	0.197 +/- 0.031
NRHc5040.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5040.ENR.CLIN.ISO	VNBI	0.000 +/- 0.000	0.292 +/- 0.220	0.004	0.221 +/- 0.062
NRHc5041.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5041.ENR.STOR	VNBI	0.056 +/- 0.078	0.031 +/- 0.054	0.444	0.196 +/- 0.037
NRHc5042.ENR.STOR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5042.ENR.STOR	VNBI	0.218 +/- 0.308	0.725 +/- 0.595	0.133	0.352 +/- 0.012
NRHc5045.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii NRHc5045.ENR.CLIN.ISO	VNBI	0.002 +/- 0.003	1.023 +/- 0.199	0	0.112 +/- 0.000
PLR10	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PLR10	VNBI	0.000 +/- 0.000	0.794 +/- 0.193	0.496	0.224 +/- 0.012
PMHc1001.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1001.ENR	VNBI	0.471 +/- 0.666	0.725 +/- 0.629	0	0.364 +/- 0.148
PMHc1011.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1011.ENR	VNBI	0.029 +/- 0.040	0.849 +/- 0.188	0.5	0.261 +/- 0.017
PMHc1014.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1014.ENR	VNBI	0.000 +/- 0.000	0.894 +/- 0.187	0.556	0.238 +/- 0.013
PMHc1026.ENR	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1026.ENR	VNBI	0.000 +/- 0.000	0.262 +/- 0.366	0.072	0.225 +/- 0.044
PMHc1030.ENR.CLIN.ISO	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1030.ENR.CLIN.ISO	VNBI	0.643 +/- 0.241	0.863 +/- 0.119	0.341	0.176 +/- 0.021
PMHc1038.ENR.CLIN1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1038.ENR.CLIN1	VNBI	0.572 +/- 0.544	1.055 +/- 0.104	0.354	0.144 +/- 0.023
PMHc1050.ENR.CLIN1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	specimen from organism		Human	Chen et. al 2015 Mol. Ecol.	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii PMHc1050.ENR.CLIN1	VNBI	0.484 +/- 0.249	0.849 +/- 0.094	0.011	0.142 +/- 0.056
RTC3	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii RTC3	VNBI	0.015 +/- 0.021	0.585 +/- 0.266	0.469	0.251 +/- 0.069
Tu229-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu229-1	VNBI	0.475 +/- 0.172	0.880 +/- 0.238	0.675	0.222 +/- 0.061
Tu360-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu360-1	VNBI	0.165 +/- 0.110	0.493 +/- 0.347	0.451	0.173 +/- 0.040
Tu369-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu369-1	VNBI	0.027 +/- 0.038	1.025 +/- 0.258	0.647	0.170 +/- 0.025
Tu401-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu401-1					
Tu406-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu406-1	VNBI	0.002 +/- 0.003	0.986 +/- 0.321	0.523	0.160 +/- 0.057
Tu416-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		_	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu416-1	VNBI	0.200 +/- 0.136	0.746 +/- 0.423	0.227	0.201 +/- 0.071
Tu422-1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBI		a	Botswana	Mopane tree		Mopane tree	Litvintseva et al 2011 PLoS One	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Tu422-1	VNBI	0.005 +/- 0.008	1.028 +/- 0.184	0.918	0.171 +/- 0.001
Bt1	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt1	VNBII	0.358 +/- 0.235	0.444 +/- 0.318	0	0.146 +/- 0.029
Bt10	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt10	VNBII	0.000 +/- 0.000	0.879 +/- 0.040	0.069	0.310 +/- 0.039
Bt103	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt103	VNBII	0.000 +/- 0.000	1.062 +/- 0.117	0.184	0.764 +/- 0.047
Bt105	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt105	VNBII	0.168 +/- 0.180	0.997 +/- 0.116	0.203	0.203 +/- 0.037
Bt109	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt109	VNBII	0.002 +/- 0.001	0.127 +/- 0.220	0.003	0.393 +/- 0.173
Bt115	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt115	VNBII	0.000 +/- 0.000	0.631 +/- 0.236	0	0.279 +/- 0.071
Bt128	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	No	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt128					
Bt133	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		a	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt133	VNBII	0.022 +/- 0.032	0.117 +/- 0.171	0.621	0.371 +/- 0.037
Bt136	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt136	VNBII	0.524 +/- 0.217	1.058 +/- 0.174	0.053	0.212 +/- 0.092
Bt143	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt143	VNBII	0.027 +/- 0.033	0.314 +/- 0.293	0.087	0.232 +/- 0.086
Bt146	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt146	VNBII	0.019 +/- 0.009	0.721 +/- 0.257	0.096	0.654 +/- 0.098
Bt149	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt149	VNBII	0.000 +/- 0.000	0.078 +/- 0.107	0.491	0.611 +/- 0.022
Bt152	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt152	VNBII	0.126 +/- 0.104	0.233 +/- 0.322	0.032	0.359 +/- 0.027
Bt157	Genome sequencing and analysis of 387 isolates of Cryptococcus neoformans var. grubii			VNBII		_	Botswana	Cerebrospinal fluid	HIV+ 	Human	Litvintseva et al 2003 Euk. Cell, Litvintseva et al 2006 Genetics	Yes	Yes	Cryptococcus neoformans var. grubii	Cryptococcus neoformans var. grubii Bt157	VNBII	0.000 +/- 0.000	1.062 +/- 0.029	0.092	0.185 +/- 0.006
