name	description	sourcemtoverride	samplemtoverride	run_prefix_prep	region	case_control	Parasite_found_species	Parasite_found_type	host_common_name	VHUP_#	title	host_sex	Animal sterilization	age	body_habitat	body_product	body_site	sample_type
Sample 12913				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12914				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	FemaleI	IntactI	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12915				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	0.92 years	Colon	UBERON:feces	Colon	Stool
Sample 12916				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12917				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12918				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12919				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12920				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12921				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	0.92 years	Colon	UBERON:feces	Colon	Stool
Sample 12922				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.125 years	Colon	UBERON:feces	Colon	Stool
Sample 12923				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12924				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12925				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	10 years	Colon	UBERON:feces	Colon	Stool
Sample 12926				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12927				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12928				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	5 years	Colon	UBERON:feces	Colon	Stool
Sample 12929				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	8 years	Colon	UBERON:feces	Colon	Stool
Sample 12930				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12931				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.5 years	Colon	UBERON:feces	Colon	Stool
Sample 12932				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	8 years	Colon	UBERON:feces	Colon	Stool
Sample 12933				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12934				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12935				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12936				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12937				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12938				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	4 years	Colon	UBERON:feces	Colon	Stool
Sample 12939				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	0.75 years	Colon	UBERON:feces	Colon	Stool
Sample 12940				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12941				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	6 years	Colon	UBERON:feces	Colon	Stool
Sample 12942				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	14 years	Colon	UBERON:feces	Colon	Stool
Sample 12943				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	7 years	Colon	UBERON:feces	Colon	Stool
Sample 12944				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	12 years	Colon	UBERON:feces	Colon	Stool
Sample 12945				12	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12946				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12947				12	V4	Case	Giardia	Protozoan	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.33 years	Colon	UBERON:feces	Colon	Stool
Sample 12948				12	V4	Case	Toxocara canis	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12949				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12950				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12951				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	0.4 years	Colon	UBERON:feces	Colon	Stool
Sample 12952				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	1.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12953				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 12954				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	10 years	Colon	UBERON:feces	Colon	Stool
Sample 12955				12	V4	Case	Multiple	Multiple	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.17 years	Colon	UBERON:feces	Colon	Stool
Sample 12956				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	2 years	Colon	UBERON:feces	Colon	Stool
Sample 12957				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.36 years	Colon	UBERON:feces	Colon	Stool
Sample 12958				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	1 years	Colon	UBERON:feces	Colon	Stool
Sample 12959				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	3 years	Colon	UBERON:feces	Colon	Stool
Sample 12964				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	6 years	Colon	UBERON:feces	Colon	Stool
Sample 12965				12	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	6 years	Colon	UBERON:feces	Colon	Stool
Sample 12966				12	V4	Case	Ancylostoma caninum	Helminth	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	6 years	Colon	UBERON:feces	Colon	Stool
Sample 12967				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Spayed	6 years	Colon	UBERON:feces	Colon	Stool
Sample 12968				12	V4	Case	Cyniclomyces guttulatus	Yeast	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Neutered	15 years	Colon	UBERON:feces	Colon	Stool
Sample 13034				12	V4	Case	Multiple	Multiple	Dog	Shelter animal	Canine Microbiome during Parasite Infection (CaMP)	Female	Intact	0.25 years	Colon	UBERON:feces	Colon	Stool
Sample 13035				12	V4	Control	NA	NA	Dog	Client-owned animal	Canine Microbiome during Parasite Infection (CaMP)	Male	Intact	0.83 years	Colon	UBERON:feces	Colon	Stool
