Name	Description	SourceMTOverride	SourceMTOverride	Specimen Collection Date	Characteristics [country]	Characteristics [continent]	Characteristics[city]	Characteristics[city]	Characteristics [specimen]	Characteristics [specimen]	Isolation_time	latitude	longitude	Characteristics [fungus organism]	Characteristics [fungal strain]	mic_of_fk506	ICZ	mic_of_natamycin	PZ	mic_of_terbinafine	VCZ	mic_of_tebuconazole	alternative sample ID
A17-11B-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-11B-2	1 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF144
A17-3C-11	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/1/17	USA	North America	Cordele	Georgia	Vine debris	Watermelon	30 dph	31.9672 N	83.7836 W	Aspergillus fumigatus	Aspergillus fumigatus A17-3C-11	0.75 ug/ml	1 ug/ml	12 ug/ml	0.375 ug/ml	0.75 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive	eAF015
A17-10B-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus spinosus	Aspergillus spinosus A17-10B-3	16 ug/ml	>16 ug/ml	16 ug/ml	1 ug/ml	0.125 ug/ml	8 ug/ml	>16 ug/ml Sensitive	eAF142
A17-15B-5	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Plant debris	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-15B-5	0.5 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	0.375 ug/ml	0.5 ug/ml	2 ug/ml Resistant	eAF128
A17-14B-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Plant debris	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-14B-7	1 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.5 ug/ml	1 ug/ml Resistant	eAF122
A17-14B-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Plant debris	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-14B-1	>16 ug/ml	1 ug/ml	12 ug/ml	0.375 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Sensitive	eAF116
A17-9B-7	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-9B-7	0.5 ug/ml	1 ug/ml	12 ug/ml	0.375 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF113
A17-9B-5	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-9B-5	0.75 ug/ml	1 ug/ml	5 ug/ml	0.5 ug/ml	0.5 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive	eAF111
A17-7B-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Plant debris	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-7B-4	1 ug/ml	0.75 ug/ml	16 ug/ml	0.375 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF105
A17-17A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Sycamore	Georgia	Plant debris	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-17A-1	2.25 ug/ml	1 ug/ml	10 ug/ml	0.375 ug/ml	0.375 ug/ml	0.5 ug/ml	2 ug/ml Sensitive	eAF100
A17-16A-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Plant debris	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-16A-2	1 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	1 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF098
A17-13A-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-13A-2	0.5 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.25 ug/ml	0.375 ug/ml	1 ug/ml Resistant	eAF095
A17-3C-6	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/1/17	USA	North America	Cordele	Georgia	Vine debris	Watermelon	30 dph	31.9672 N	83.7836 W	Aspergillus fumigatus	Aspergillus fumigatus A17-3C-6	0.75 ug/ml	1 ug/ml	16 ug/ml	0.75 ug/ml	0.75 ug/ml	0.5 ug/ml	1.5 ug/ml Resistant	eAF010
A17-13A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-13A-1	0.375 ug/ml	1 ug/ml	16 ug/ml	0.375 ug/ml	0.75 ug/ml	0.375 ug/ml	1 ug/ml Sensitive	eAF094
A17-10A-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-10A-1	2.5 ug/ml	1 ug/ml	16 ug/ml	0.375 ug/ml	1 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive	eAF091
A17-9A-6	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-9A-6	1 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	2 ug/ml	0.5 ug/ml	1.5 ug/ml Sensitive	eAF090
A17-9A-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Soil	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus spinosus	Aspergillus spinosus A17-9A-3	16 ug/ml	>16 ug/ml	12 ug/ml	1 ug/ml	0.0925 ug/ml	8 ug/ml	>16 ug/ml Sensitive	eAF087
A17-7A-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			11/20/17	USA	North America	Tifton	Georgia	Plant debris	Peanut	n/a	31.4746 N	83.5308 W	Aspergillus fumigatus	Aspergillus fumigatus A17-7A-3	5 ug/ml	1 ug/ml	12 ug/ml	0.5 ug/ml	2.25 ug/ml	0.5 ug/ml	2 ug/ml Sensitive	eAF081
A17-5C-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/21/17	USA	North America	Blairsville	Georgia	Soil	Apple	n/a	34.8786 N	83.9555 W	Aspergillus fumigatus	Aspergillus fumigatus A17-5C-2	1.25 ug/ml	1 ug/ml	8 ug/ml	0.375 ug/ml	0.75 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive	eAF077
A17-5C-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/21/17	USA	North America	Blairsville	Georgia	Soil	Apple	n/a	34.8786 N	83.9555 W	Aspergillus fumigatus	Aspergillus fumigatus A17-5C-1	0.5 ug/ml	1.5 ug/ml	16 ug/ml	0.75 ug/ml	0.75 ug/ml	0.5 ug/ml	2 ug/ml Resistant	eAF076
A17-4C-3	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/21/17	USA	North America	Blairsville	Georgia	Soil	Grapevine	n/a	34.8786 N	83.9555 W	Aspergillus fumigatus	Aspergillus fumigatus A17-4C-3	4 ug/ml	1 ug/ml	10 ug/ml	0.375 ug/ml	0.75 ug/ml	0.375 ug/ml	1.5 ug/ml Sensitive	eAF072
A17-4D-4	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/21/17	USA	North America	Blairsville	Georgia	Soil	Grapevine	n/a	34.8786 N	83.9555 W	Aspergillus fumigatus	Aspergillus fumigatus A17-4D-4	0.5 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF067
A17-4B-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/21/17	USA	North America	Blairsville	Georgia	Soil	Grapevine	n/a	34.8786 N	83.9555 W	Aspergillus fumigatus	Aspergillus fumigatus A17-4B-2	1 ug/ml	1 ug/ml	16 ug/ml	0.5 ug/ml	0.5 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF061
A17-3C-2	Aspergillus fumigatus, Environmental Isolates from Southeast USA			8/1/17	USA	North America	Cordele	Georgia	Vine debris	Watermelon	30 dph	31.9672 N	83.7836 W	Aspergillus fumigatus	Aspergillus fumigatus A17-3C-2	2.25 ug/ml	1 ug/ml	12 ug/ml	0.375 ug/ml	0.3125 ug/ml	0.375 ug/ml	2 ug/ml Sensitive	eAF006
A17-1B-1	Aspergillus fumigatus, Environmental Isolates from Southeast USA			6/7/17	USA	North America	Cordele	Georgia	Soil	Watermelon	n/a	31.9672 N	83.7836 W	Aspergillus fumigatus	Aspergillus fumigatus A17-1B-1	0.375 ug/ml	1 ug/ml	16 ug/ml	0.3125 ug/ml	0.75 ug/ml	0.25 ug/ml	1 ug/ml Resistant	eAF001
